rounds: 10 | txs: 1000 | p_graph: 0.3 | p_byzantine: 0.45 | p_tx_dist: 0.05 | initialized in 2.179ms | seeds: (2125577508773522653, 13729806558382295491) | simulation done in 2.890s | count of tx upon which consensus was reached 997
rounds: 10 | txs: 1000 | p_graph: 0.3 | p_byzantine: 0.15 | p_tx_dist: 0.05 | initialized in 1.682ms | seeds: (1730089084806471910, 11108639602912659431) | simulation done in 4.986s | count of tx upon which consensus was reached 995
rounds: 10 | txs: 1000 | p_graph: 0.3 | p_byzantine: 0.3 | p_tx_dist: 0.1 | initialized in 2.293ms | seeds: (1463876203102530877, 18134671987575070085) | simulation done in 3.583s | count of tx upon which consensus was reached 1000
rounds: 10 | txs: 1000 | p_graph: 0.3 | p_byzantine: 0.3 | p_tx_dist: 0.05 | initialized in 1.686ms | seeds: (4258633233544113348, 11398100061397787761) | simulation done in 3.780s | count of tx upon which consensus was reached 998
rounds: 10 | txs: 1000 | p_graph: 0.3 | p_byzantine: 0.45 | p_tx_dist: 0.1 | initialized in 2.205ms | seeds: (17827664709580375944, 16485643690407552907) | simulation done in 2.832s | count of tx upon which consensus was reached 1000
rounds: 10 | txs: 1500 | p_graph: 0.1 | p_byzantine: 0.45 | p_tx_dist: 0.01 | initialized in 1.638ms | seeds: (10388186572838184913, 4029925367024634678) | simulation done in 593.932ms | count of tx upon which consensus was reached 941
rounds: 10 | txs: 1500 | p_graph: 0.1 | p_byzantine: 0.3 | p_tx_dist: 0.01 | initialized in 1.565ms | seeds: (11334274904179698677, 17068392797486689970) | simulation done in 1.075s | count of tx upon which consensus was reached 976
rounds: 10 | txs: 1500 | p_graph: 0.1 | p_byzantine: 0.15 | p_tx_dist: 0.05 | initialized in 2.272ms | seeds: (15133086123435864660, 6936397242529568820) | simulation done in 2.652s | count of tx upon which consensus was reached 1491
rounds: 10 | txs: 1000 | p_graph: 0.3 | p_byzantine: 0.15 | p_tx_dist: 0.1 | initialized in 2.134ms | seeds: (2625529718782341091, 7043170646861744184) | simulation done in 5.776s | count of tx upon which consensus was reached 1000
rounds: 10 | txs: 1500 | p_graph: 0.1 | p_byzantine: 0.45 | p_tx_dist: 0.05 | initialized in 2.357ms | seeds: (5530925593283481726, 7309731723737250949) | simulation done in 1.505s | count of tx upon which consensus was reached 1491
rounds: 10 | txs: 1500 | p_graph: 0.1 | p_byzantine: 0.15 | p_tx_dist: 0.1 | initialized in 3.489ms | seeds: (4328806343302955081, 6837516762736623803) | simulation done in 2.701s | count of tx upon which consensus was reached 1500
rounds: 10 | txs: 1500 | p_graph: 0.1 | p_byzantine: 0.45 | p_tx_dist: 0.1 | initialized in 3.175ms | seeds: (12493793715193440741, 4127585872022195928) | simulation done in 1.441s | count of tx upon which consensus was reached 1500
rounds: 10 | txs: 1500 | p_graph: 0.1 | p_byzantine: 0.3 | p_tx_dist: 0.05 | initialized in 2.360ms | seeds: (16328080988838447477, 6218745049336423947) | simulation done in 2.273s | count of tx upon which consensus was reached 1485
rounds: 10 | txs: 1500 | p_graph: 0.1 | p_byzantine: 0.3 | p_tx_dist: 0.1 | initialized in 3.059ms | seeds: (1762042977267355892, 6049964459640935178) | simulation done in 2.288s | count of tx upon which consensus was reached 1500
rounds: 10 | txs: 1500 | p_graph: 0.2 | p_byzantine: 0.45 | p_tx_dist: 0.01 | initialized in 2.559ms | seeds: (1883337563415380702, 1271199964406474860) | simulation done in 1.410s | count of tx upon which consensus was reached 954
rounds: 10 | txs: 1500 | p_graph: 0.2 | p_byzantine: 0.3 | p_tx_dist: 0.01 | initialized in 1.536ms | seeds: (8738829085343574750, 15960058825306340599) | simulation done in 2.103s | count of tx upon which consensus was reached 939
rounds: 10 | txs: 1500 | p_graph: 0.2 | p_byzantine: 0.15 | p_tx_dist: 0.01 | initialized in 1.612ms | seeds: (13777067609601850089, 5554198515508511620) | simulation done in 3.340s | count of tx upon which consensus was reached 959
rounds: 10 | txs: 1500 | p_graph: 0.2 | p_byzantine: 0.45 | p_tx_dist: 0.05 | initialized in 3.111ms | seeds: (6286443176470466854, 12284561068009076462) | simulation done in 1.979s | count of tx upon which consensus was reached 1492
rounds: 10 | txs: 1500 | p_graph: 0.2 | p_byzantine: 0.3 | p_tx_dist: 0.05 | initialized in 2.341ms | seeds: (17382402244484090372, 4021308640201675561) | simulation done in 3.942s | count of tx upon which consensus was reached 1493
rounds: 10 | txs: 1500 | p_graph: 0.2 | p_byzantine: 0.45 | p_tx_dist: 0.1 | initialized in 4.463ms | seeds: (15514256978347451965, 13479621417241964731) | simulation done in 2.530s | count of tx upon which consensus was reached 1500
rounds: 10 | txs: 1500 | p_graph: 0.2 | p_byzantine: 0.15 | p_tx_dist: 0.05 | initialized in 2.295ms | seeds: (10521303560534843292, 8092777457905759952) | simulation done in 5.469s | count of tx upon which consensus was reached 1492
rounds: 10 | txs: 1500 | p_graph: 0.2 | p_byzantine: 0.15 | p_tx_dist: 0.1 | initialized in 3.188ms | seeds: (1660386933023130189, 14179327650436033097) | simulation done in 5.883s | count of tx upon which consensus was reached 1500
rounds: 10 | txs: 1500 | p_graph: 0.2 | p_byzantine: 0.3 | p_tx_dist: 0.1 | initialized in 3.253ms | seeds: (2814105984122715938, 17681177470879735758) | simulation done in 4.920s | count of tx upon which consensus was reached 1500
rounds: 10 | txs: 1500 | p_graph: 0.3 | p_byzantine: 0.15 | p_tx_dist: 0.01 | initialized in 1.598ms | seeds: (3382546481935687807, 8079290974775416101) | simulation done in 4.217s | count of tx upon which consensus was reached 974
rounds: 10 | txs: 1500 | p_graph: 0.3 | p_byzantine: 0.45 | p_tx_dist: 0.01 | initialized in 1.571ms | seeds: (5740744000346355950, 11042158575750482538) | simulation done in 2.935s | count of tx upon which consensus was reached 932
rounds: 10 | txs: 1500 | p_graph: 0.3 | p_byzantine: 0.3 | p_tx_dist: 0.01 | initialized in 1.699ms | seeds: (14804143123028724807, 6225319981149481293) | simulation done in 3.937s | count of tx upon which consensus was reached 938
rounds: 10 | txs: 1500 | p_graph: 0.3 | p_byzantine: 0.45 | p_tx_dist: 0.05 | initialized in 2.217ms | seeds: (8482888559971240616, 7249147417883030711) | simulation done in 3.533s | count of tx upon which consensus was reached 1490
rounds: 20 | txs: 500 | p_graph: 0.1 | p_byzantine: 0.15 | p_tx_dist: 0.01 | initialized in 695.182µs | seeds: (1123750673761702032, 3726839528536642860) | simulation done in 1.043s | count of tx upon which consensus was reached 315
rounds: 10 | txs: 1500 | p_graph: 0.3 | p_byzantine: 0.45 | p_tx_dist: 0.1 | initialized in 3.106ms | seeds: (4187673022488595550, 3717109649974557284) | simulation done in 3.292s | count of tx upon which consensus was reached 1500
rounds: 20 | txs: 500 | p_graph: 0.1 | p_byzantine: 0.3 | p_tx_dist: 0.01 | initialized in 650.190µs | seeds: (7385241218536926105, 5138139076197029363) | simulation done in 746.105ms | count of tx upon which consensus was reached 333
rounds: 10 | txs: 1500 | p_graph: 0.3 | p_byzantine: 0.3 | p_tx_dist: 0.1 | initialized in 3.297ms | seeds: (3610166811716581889, 3596275809035214335) | simulation done in 5.573s | count of tx upon which consensus was reached 1500
rounds: 20 | txs: 500 | p_graph: 0.1 | p_byzantine: 0.15 | p_tx_dist: 0.05 | initialized in 882.572µs | seeds: (4900008150567992481, 17580135321059599170) | simulation done in 1.926s | count of tx upon which consensus was reached 500
rounds: 20 | txs: 500 | p_graph: 0.1 | p_byzantine: 0.45 | p_tx_dist: 0.01 | initialized in 881.252µs | seeds: (4240152606417762698, 13912497436371849867) | simulation done in 533.330ms | count of tx upon which consensus was reached 315
rounds: 20 | txs: 500 | p_graph: 0.1 | p_byzantine: 0.15 | p_tx_dist: 0.1 | initialized in 1.129ms | seeds: (17972161409187995822, 155973305462516074) | simulation done in 1.878s | count of tx upon which consensus was reached 500
rounds: 10 | txs: 1500 | p_graph: 0.3 | p_byzantine: 0.15 | p_tx_dist: 0.05 | initialized in 2.398ms | seeds: (1291156905930119969, 5915681412866441934) | simulation done in 8.457s | count of tx upon which consensus was reached 1496
rounds: 10 | txs: 1500 | p_graph: 0.3 | p_byzantine: 0.3 | p_tx_dist: 0.05 | initialized in 3.198ms | seeds: (2111106518554079843, 1417753326287932345) | simulation done in 6.358s | count of tx upon which consensus was reached 1495
rounds: 10 | txs: 1500 | p_graph: 0.3 | p_byzantine: 0.15 | p_tx_dist: 0.1 | initialized in 3.872ms | seeds: (13021648528115180466, 439164831054448304) | simulation done in 8.338s | count of tx upon which consensus was reached 1500
rounds: 20 | txs: 500 | p_graph: 0.1 | p_byzantine: 0.3 | p_tx_dist: 0.05 | initialized in 865.184µs | seeds: (17208411629105610499, 18385800442783885549) | simulation done in 1.747s | count of tx upon which consensus was reached 497
rounds: 20 | txs: 500 | p_graph: 0.1 | p_byzantine: 0.45 | p_tx_dist: 0.1 | initialized in 1.344ms | seeds: (8317243325453720407, 3347346786648957951) | simulation done in 889.804ms | count of tx upon which consensus was reached 500
rounds: 20 | txs: 500 | p_graph: 0.2 | p_byzantine: 0.3 | p_tx_dist: 0.01 | initialized in 762.906µs | seeds: (752448611331769522, 7473999291119057853) | simulation done in 1.725s | count of tx upon which consensus was reached 314
rounds: 20 | txs: 500 | p_graph: 0.1 | p_byzantine: 0.3 | p_tx_dist: 0.1 | initialized in 1.903ms | seeds: (11570640426812938237, 17413868730912667303) | simulation done in 1.359s | count of tx upon which consensus was reached 500
rounds: 20 | txs: 500 | p_graph: 0.2 | p_byzantine: 0.15 | p_tx_dist: 0.01 | initialized in 643.260µs | seeds: (11584898581962296076, 17358352727830258603) | simulation done in 2.123s | count of tx upon which consensus was reached 313
rounds: 20 | txs: 500 | p_graph: 0.2 | p_byzantine: 0.45 | p_tx_dist: 0.01 | initialized in 618.550µs | seeds: (10575436356922315004, 2558079584759941393) | simulation done in 910.972ms | count of tx upon which consensus was reached 305
rounds: 20 | txs: 500 | p_graph: 0.1 | p_byzantine: 0.45 | p_tx_dist: 0.05 | initialized in 989.792µs | seeds: (14123742779609194708, 4842660526049650135) | simulation done in 1.261s | count of tx upon which consensus was reached 498
rounds: 20 | txs: 500 | p_graph: 0.2 | p_byzantine: 0.3 | p_tx_dist: 0.05 | initialized in 889.882µs | seeds: (16547159876182286333, 6151480919319670840) | simulation done in 2.965s | count of tx upon which consensus was reached 498
rounds: 20 | txs: 500 | p_graph: 0.2 | p_byzantine: 0.3 | p_tx_dist: 0.1 | initialized in 1.212ms | seeds: (16292708948180296212, 16750700556895525918) | simulation done in 3.269s | count of tx upon which consensus was reached 500
rounds: 20 | txs: 500 | p_graph: 0.2 | p_byzantine: 0.45 | p_tx_dist: 0.1 | initialized in 1.139ms | seeds: (16881485560757074045, 7821522132622533586) | simulation done in 2.194s | count of tx upon which consensus was reached 500
rounds: 20 | txs: 500 | p_graph: 0.2 | p_byzantine: 0.15 | p_tx_dist: 0.05 | initialized in 957.109µs | seeds: (13874074079600443631, 9775695500638041711) | simulation done in 4.437s | count of tx upon which consensus was reached 495
rounds: 20 | txs: 500 | p_graph: 0.2 | p_byzantine: 0.45 | p_tx_dist: 0.05 | initialized in 1.056ms | seeds: (13723540949701832363, 1475082016588049439) | simulation done in 2.517s | count of tx upon which consensus was reached 497
rounds: 20 | txs: 500 | p_graph: 0.2 | p_byzantine: 0.15 | p_tx_dist: 0.1 | initialized in 1.158ms | seeds: (2355462654154968248, 10835417569366132447) | simulation done in 4.603s | count of tx upon which consensus was reached 500
rounds: 20 | txs: 500 | p_graph: 0.3 | p_byzantine: 0.45 | p_tx_dist: 0.01 | initialized in 677.471µs | seeds: (9406325742282394999, 13738838957877514457) | simulation done in 2.077s | count of tx upon which consensus was reached 341
rounds: 20 | txs: 500 | p_graph: 0.3 | p_byzantine: 0.15 | p_tx_dist: 0.01 | initialized in 642.898µs | seeds: (12803909877236965083, 6995894851574693030) | simulation done in 3.921s | count of tx upon which consensus was reached 304
rounds: 20 | txs: 500 | p_graph: 0.3 | p_byzantine: 0.3 | p_tx_dist: 0.01 | initialized in 666.727µs | seeds: (1346743976195296207, 6593053302819245032) | simulation done in 3.127s | count of tx upon which consensus was reached 316
rounds: 20 | txs: 500 | p_graph: 0.3 | p_byzantine: 0.45 | p_tx_dist: 0.05 | initialized in 966.583µs | seeds: (828447001607158591, 923990599691991335) | simulation done in 3.378s | count of tx upon which consensus was reached 500
rounds: 20 | txs: 500 | p_graph: 0.3 | p_byzantine: 0.3 | p_tx_dist: 0.05 | initialized in 841.927µs | seeds: (17317511481120720235, 4666123846065407150) | simulation done in 4.407s | count of tx upon which consensus was reached 496
rounds: 20 | txs: 500 | p_graph: 0.3 | p_byzantine: 0.15 | p_tx_dist: 0.05 | initialized in 2.257ms | seeds: (6576386620411459262, 13604841509547579045) | simulation done in 6.080s | count of tx upon which consensus was reached 498
rounds: 20 | txs: 500 | p_graph: 0.3 | p_byzantine: 0.3 | p_tx_dist: 0.1 | initialized in 1.202ms | seeds: (18385991045645501861, 13229946172495691587) | simulation done in 4.531s | count of tx upon which consensus was reached 500
rounds: 20 | txs: 1000 | p_graph: 0.1 | p_byzantine: 0.15 | p_tx_dist: 0.01 | initialized in 1.150ms | seeds: (5603306872227153015, 10452407534171157231) | simulation done in 2.609s | count of tx upon which consensus was reached 626
rounds: 20 | txs: 500 | p_graph: 0.3 | p_byzantine: 0.45 | p_tx_dist: 0.1 | initialized in 1.168ms | seeds: (3308341987305290339, 9095635315516587984) | simulation done in 3.178s | count of tx upon which consensus was reached 500
rounds: 20 | txs: 1000 | p_graph: 0.1 | p_byzantine: 0.3 | p_tx_dist: 0.01 | initialized in 1.101ms | seeds: (17863549517312341192, 11154242094244607428) | simulation done in 1.455s | count of tx upon which consensus was reached 618
rounds: 20 | txs: 500 | p_graph: 0.3 | p_byzantine: 0.15 | p_tx_dist: 0.1 | initialized in 1.294ms | seeds: (17401533704669745261, 12801275158561962795) | simulation done in 6.591s | count of tx upon which consensus was reached 500
rounds: 20 | txs: 1000 | p_graph: 0.1 | p_byzantine: 0.45 | p_tx_dist: 0.01 | initialized in 2.600ms | seeds: (15667096752543420738, 15202621616007031294) | simulation done in 1.488s | count of tx upon which consensus was reached 625
rounds: 20 | txs: 1000 | p_graph: 0.1 | p_byzantine: 0.45 | p_tx_dist: 0.1 | initialized in 2.090ms | seeds: (11320971836772373306, 3926812116399948704) | simulation done in 1.478s | count of tx upon which consensus was reached 1000
rounds: 20 | txs: 1000 | p_graph: 0.1 | p_byzantine: 0.15 | p_tx_dist: 0.1 | initialized in 2.232ms | seeds: (6797031365801958699, 11234824841745887343) | simulation done in 3.688s | count of tx upon which consensus was reached 1000
rounds: 20 | txs: 1000 | p_graph: 0.1 | p_byzantine: 0.45 | p_tx_dist: 0.05 | initialized in 1.531ms | seeds: (14541799661299027998, 13625493938338783096) | simulation done in 2.031s | count of tx upon which consensus was reached 993
rounds: 20 | txs: 1000 | p_graph: 0.1 | p_byzantine: 0.3 | p_tx_dist: 0.1 | initialized in 4.202ms | seeds: (9205859719034950779, 12291584868393255259) | simulation done in 2.846s | count of tx upon which consensus was reached 1000
rounds: 20 | txs: 1000 | p_graph: 0.1 | p_byzantine: 0.15 | p_tx_dist: 0.05 | initialized in 4.947ms | seeds: (18215248344299148615, 2266957809758087625) | simulation done in 4.669s | count of tx upon which consensus was reached 996
rounds: 20 | txs: 1000 | p_graph: 0.1 | p_byzantine: 0.3 | p_tx_dist: 0.05 | initialized in 1.546ms | seeds: (7113545061368081487, 15864812485778383255) | simulation done in 3.477s | count of tx upon which consensus was reached 993
rounds: 20 | txs: 1000 | p_graph: 0.2 | p_byzantine: 0.45 | p_tx_dist: 0.01 | initialized in 1.171ms | seeds: (12040479847112342896, 3541742358671219073) | simulation done in 2.627s | count of tx upon which consensus was reached 620
rounds: 20 | txs: 1000 | p_graph: 0.2 | p_byzantine: 0.45 | p_tx_dist: 0.05 | initialized in 1.605ms | seeds: (17143074967557656994, 1512226897292511836) | simulation done in 2.627s | count of tx upon which consensus was reached 993
rounds: 20 | txs: 1000 | p_graph: 0.2 | p_byzantine: 0.15 | p_tx_dist: 0.01 | initialized in 2.639ms | seeds: (4691556268495036141, 11336747115066997215) | simulation done in 4.608s | count of tx upon which consensus was reached 651
rounds: 20 | txs: 1000 | p_graph: 0.2 | p_byzantine: 0.3 | p_tx_dist: 0.01 | initialized in 1.888ms | seeds: (15453146355483742707, 884710602712458054) | simulation done in 3.305s | count of tx upon which consensus was reached 634
